Package Name                                                                                           | Version          | ID  | Bundle Name
org.eclipse.jetty.server.session.jmx                                                                   | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.session                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server.ssl                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.server                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.servlet.jmx                                                                          | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.servlet.listener                                                                     | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.servlet                                                                              | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.servlets.jmx                                                                         | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.servlets                                                                             | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.ajax                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.component.jmx                                                                   | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.component                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.log.jmx                                                                         | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.log                                                                             | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.preventers                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.resource                                                                        | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.security                                                                        | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.ssl                                                                             | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.statistic                                                                       | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.thread.jmx                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util.thread                                                                          | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.util                                                                                 | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.webapp.jmx                                                                           | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.webapp                                                                               | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.websocket                                                                            | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty.xml                                                                                  | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.eclipse.jetty                                                                                      | 8.1.15.v20140411 | 120 | org.eclipse.jetty.aggregate.jetty-all-server
org.freehep.graphics2d.font                                                                            | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphics2d                                                                                 | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.swing.layout                                                                  | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.swing                                                                         | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.util.export                                                                   | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.util.images                                                                   | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.util                                                                          | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsbase.xml.util                                                                      | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.exportchooser                                                                   | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.font.truetype                                                                   | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.font                                                                            | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.gif                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.java                                                                            | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.pdf                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.png                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.ppm                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.ps                                                                              | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.raw                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio.svg                                                                             | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.graphicsio                                                                                 | 3.6.0            | 47  | org.cytoscape.third-party
org.freehep.util.io                                                                                    | 3.6.0            | 47  | org.cytoscape.third-party
org.fusesource.jansi                                                                                   | 1.11.0           | 21  | jline
org.glassfish.hk2.api.messaging                                                                        | 2.4.0            | 144 | org.glassfish.hk2.api
org.glassfish.hk2.api                                                                                  | 2.4.0            | 144 | org.glassfish.hk2.api
org.glassfish.hk2.extension                                                                            | 2.4.0            | 144 | org.glassfish.hk2.api
org.glassfish.hk2.osgiresourcelocator                                                                  | 1.0.1            | 147 | org.glassfish.hk2.osgi-resource-locator
org.glassfish.hk2.utilities.binding                                                                    | 2.4.0            | 144 | org.glassfish.hk2.api
org.glassfish.hk2.utilities.cache                                                                      | 2.4.0            | 146 | org.glassfish.hk2.utils
org.glassfish.hk2.utilities.general                                                                    | 2.4.0            | 146 | org.glassfish.hk2.utils
org.glassfish.hk2.utilities.reflection.internal                                                        | 2.4.0            | 146 | org.glassfish.hk2.utils
org.glassfish.hk2.utilities.reflection                                                                 | 2.4.0            | 146 | org.glassfish.hk2.utils
org.glassfish.hk2.utilities                                                                            | 2.4.0            | 144 | org.glassfish.hk2.api
org.glassfish.jersey.client.authentication                                                             | 2.22.2           | 157 | org.glassfish.jersey.core.jersey-client
org.glassfish.jersey.client.filter                                                                     | 2.22.2           | 157 | org.glassfish.jersey.core.jersey-client
org.glassfish.jersey.client.spi                                                                        | 2.22.2           | 157 | org.glassfish.jersey.core.jersey-client
org.glassfish.jersey.client                                                                            | 2.22.2           | 157 | org.glassfish.jersey.core.jersey-client
org.glassfish.jersey.filter                                                                            | 2.22.2           | 154 | org.glassfish.jersey.core.jersey-common
org.glassfish.jersey.internal.inject                                                                   | 2.22.2           | 154 | org.glassfish.jersey.core.jersey-common
org.glassfish.jersey.internal.l10n                                                                     | 2.22.2           | 154 | org.glassfish.jersey.core.jersey-common
org.glassfish.jersey.internal.sonar                                                                    | 2.22.2           | 154 | org.glassfish.jersey.core.jersey-common
